Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
M 84 (Cadena de Markarian),   12h25m05.0s, +12°53'04.2", 9.24, 6.500, 12.88, 0h58m, +81°54'16.68", 164°06'05.5", galaxia
M 85,   12h25m25.3s, +18°11'18.7", 9.24, 7.100, 12.96, 0h58m, +76°36'02.09", 160°15'53.3", galaxia
M 86 (Cadena de Markarian),   12h26m13.1s, +12°56'36.5", 9.04, 8.900, 13.06, 0h59m, +81°50'44.12", 163°50'59.5", galaxia
M 87 (Galaxia Virgo),   12h30m50.7s, +12°23'19.0", 8.74, 7.200, 12.70, 1h04m, +82°24'00.52", 163°16'45.1", galaxia
M 88,   12h32m00.5s, +14°25'04.3", 9.74, 6.900, 12.99, 1h05m, +80°22'14.90", 161°49'42.3", galaxia
M 89,   12h35m41.1s, +12°33'12.6", 9.94, 5.100, 13.13, 1h09m, +82°14'05.54", 162°12'21.1", galaxia
M 90,   12h36m51.1s, +13°09'37.1", 9.64, 9.500, 13.43, 1h10m, +81°37'40.65", 161°38'05.0", galaxia
M 91,   12h35m27.7s, +14°29'37.5", 10.34, 5.400, 13.49, 1h08m, +80°17'40.72", 161°07'38.5", galaxia
M 92,   17h17m07.5s, +43°07'50.5", 8.09, 14.000, 13.56, 5h49m, +51°32'49.72", 95°13'56.3", cúmulo estelar globular
M 93 (Cúmulo Mariposa),    7h44m30.8s, -23°51'39.0", 6.46, 10.000, 11.20, 20h14m, +61°25'48.64", 117°51'06.7", cúmulo estelar abierto
M 94 (Galaxia Ojo de Cocodrilo),   12h50m54.7s, +41°07'02.0", 8.37, 11.200, 13.13, 1h24m, +53°40'10.40", 137°56'41.3", galaxia
M 95,   10h43m59.0s, +11°42'05.8", 9.83, 3.100, 11.95, 23h13m, +83°04'46.95", 164°10'53.0", galaxia
M 96,   10h46m47.0s, +11°49'04.5", 9.43, 7.600, 13.16, 23h16m, +82°57'50.27", 164°40'28.8", galaxia
M 97 (Nebulosa de la Lechuza),   11h14m49.9s, +55°01'04.9", 10.10, 3.400, 12.47, 23h44m, +39°46'06.65", 127°22'58.6", nebulosa planetaria
M 98,   12h13m49.6s, +14°53'52.9", 10.24, 9.800, 13.57, 0h47m, +79°53'29.69", 164°34'11.0", galaxia
M 99 (Molinillo del Cúmulo de Virgo),   12h18m50.9s, +14°24'50.4", 10.04, 5.400, 13.29, 0h52m, +80°22'31.50", 164°09'10.6", galaxia
M 100 (Galaxia Secadora de Cabello),   12h22m56.2s, +15°49'11.5", 9.54, 7.400, 13.45, 0h56m, +78°58'09.75", 162°26'58.6", galaxia
M 101 (Galaxia de Molinillo),   14h03m14.3s, +54°20'41.1", 8.15, 28.800, 15.12, 2h36m, +40°25'35.00", 120°11'56.6", galaxia
M 102 (Galaxia del Huso),   15h06m30.9s, +55°45'30.6", 10.24, 6.500, 13.24, 3h39m, +38°59'20.56", 112°15'05.1", galaxia
M 104 (Galaxia del Sombrero),   12h40m00.7s, -11°37'29.8", 8.14, 8.700, 11.59, 1h13m, +73°35'13.50", 158°41'50.0", galaxia
M 105,   10h47m50.9s, +12°34'46.7", 9.43, 5.400, 12.70, 23h17m, +82°12'08.91", 164°25'00.5", galaxia
M 106,   12h18m59.4s, +47°18'04.8", 8.58, 18.600, 13.64, 0h52m, +47°29'17.13", 134°19'29.6", galaxia
