Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
NGC 2926,    9h37m32.3s, +32°50'26.6", 14.23, 0.947, 13.52, 22h07m, +61°55'17.08", 138°55'25.2", galaxia
NGC 2928,    9h37m11.3s, +16°58'32.9", 14.31, 1.253, 13.55, 22h07m, +77°47'10.31", 147°26'00.1", galaxia
NGC 2930,    9h37m34.0s, +23°12'08.2", 14.86, 0.512, 12.34, 22h07m, +71°33'35.46", 144°39'40.4", galaxia
NGC 2931,    9h37m38.9s, +23°14'23.1", 14.44, 0.867, 13.39, 22h07m, +71°31'20.73", 144°39'28.4", galaxia
NGC 2935,    9h36m46.1s, -21°07'51.9", 10.20, 2.240, 11.14, 22h06m, +64°06'25.62", 142°22'28.6", galaxia
NGC 2936 (Galaxia del Pingüino),    9h37m45.3s, +2°45'31.7", 13.20, 1.560, 13.24, 22h07m, +87°59'47.89", 150°26'08.2", interacción galaxias
NGC 2937 (Galaxia del Huevo),    9h37m46.2s, +2°44'42.7", 13.80, 0.937, 12.85, 22h07m, +87°58'58.87", 150°26'21.9", interacción galaxias
NGC 2939,    9h38m09.0s, +9°31'19.2", 13.37, 1.493, 12.93, 22h08m, +85°14'25.16", 149°52'40.8", radio galaxia
NGC 2940,    9h38m06.3s, +9°36'53.3", 13.93, 0.787, 13.03, 22h08m, +85°08'51.09", 149°50'55.0", interacción galaxias
NGC 2943,    9h38m34.1s, +17°01'47.6", 13.03, 1.943, 13.69, 22h08m, +77°43'57.42", 147°42'55.2", galaxia
NGC 2948,    9h39m00.3s, +6°57'12.9", 13.34, 1.330, 13.24, 22h09m, +87°48'32.61", 150°30'03.2", galaxia
NGC 2949,    9h39m53.3s, +16°54'59.3", 15.13, 0.707, 13.87, 22h10m, +77°50'47.42", 148°03'00.8", galaxia
NGC 2950,    9h42m37.3s, +58°51'07.4", 11.45, 1.827, 12.01, 22h13m, +35°54'43.12", 119°32'50.3", galaxia
NGC 2951,    9h39m42.0s, -0°14'14.4", 14.52, 1.337, 13.84, 22h09m, +84°59'59.18", 150°45'46.8", galaxia
NGC 2954,    9h40m25.2s, +14°55'15.9", 12.88, 1.100, 12.46, 22h10m, +79°50'31.48", 148°55'05.5", galaxia
NGC 2958,    9h40m42.8s, +11°53'12.2", 13.67, 0.937, 13.02, 22h10m, +82°52'35.55", 149°56'01.9", galaxia
NGC 2959,    9h45m12.1s, +68°35'44.8", 13.00, 1.590, 13.48, 22h16m, +26°10'09.15", 111°22'57.2", interacción galaxias
NGC 2960,    9h40m37.5s, +3°34'29.4", 13.29, 0.963, 12.81, 22h10m, +88°48'41.78", 151°08'48.3", galaxia activa
NGC 2961,    9h45m25.7s, +68°36'34.6", 15.01, 0.973, 13.58, 22h16m, +26°09'19.60", 111°22'50.9", interacción galaxias
NGC 2962,    9h40m55.0s, +5°09'49.6", 12.41, 2.377, 13.32, 22h10m, +89°35'58.36", 151°08'51.9", interacción galaxias
NGC 2965,    9h43m20.6s, +36°14'50.5", 16.55, 1.100, 16.35, 22h13m, +58°31'00.75", 137°26'45.6", quásar
NGC 2967,    9h42m04.5s, +0°20'03.3", 12.47, 2.073, 13.43, 22h12m, +85°34'13.82", 151°24'22.7", galaxia
NGC 2968,    9h43m13.3s, +31°55'41.3", 14.41, 1.953, 14.93, 22h13m, +62°50'09.71", 140°25'35.9", interacción galaxias
NGC 2972,    9h40m15.7s, -50°19'41.8", 10.15, 4.000, 12.90, 22h09m, +34°54'31.36", 121°33'14.1", cúmulo estelar abierto
NGC 2976,    9h47m18.5s, +67°55'03.4", 10.47, 6.000, 13.04, 22h18m, +26°50'53.13", 112°04'05.3", galaxia
NGC 2981,    9h44m57.9s, +31°05'49.2", 14.31, 1.027, 13.62, 22h15m, +63°40'04.00", 141°15'31.7", galaxia
NGC 2983,    9h43m42.3s, -20°28'48.3", 11.84, 2.153, 12.61, 22h13m, +64°45'20.29", 144°04'06.0", galaxia
NGC 2985,    9h50m26.0s, +72°16'48.1", 10.97, 2.900, 12.80, 22h21m, +22°29'12.34", 108°22'12.7", galaxia activa
NGC 2986,    9h44m17.3s, -21°16'52.4", 11.09, 2.383, 12.57, 22h14m, +63°57'15.41", 143°41'32.8", galaxia
NGC 2987,    9h45m42.6s, +4°56'23.6", 13.50, 1.150, 12.74, 22h15m, +89°49'30.49", 152°21'14.3", galaxia
NGC 2988,    9h46m49.2s, +22°00'39.1", 14.50, 0.977, 12.63, 22h16m, +72°45'16.42", 147°06'14.1", interacción galaxias
NGC 2989,    9h45m26.4s, -18°22'36.3", 14.65, 1.203, 13.35, 22h15m, +66°51'30.11", 145°37'42.0", galaxia activa
NGC 2992,    9h45m43.2s, -14°19'44.8", 12.33, 1.637, 12.22, 22h15m, +70°54'21.20", 147°50'31.6", galaxia activa
NGC 2993,    9h45m49.5s, -14°22'15.9", 12.79, 0.870, 12.16, 22h15m, +70°51'49.95", 147°50'36.3", galaxia
NGC 2994,    9h47m17.3s, +22°05'17.6", 13.41, 1.187, 13.00, 22h17m, +72°40'38.44", 147°09'14.2", galaxia
NGC 2997,    9h45m40.1s, -31°11'39.1", 9.59, 8.630, 13.76, 22h15m, +54°02'27.03", 137°12'42.4", galaxia
NGC 3001,    9h46m20.0s, -30°26'25.9", 12.00, 2.390, 13.34, 22h16m, +54°47'39.36", 137°51'32.7", galaxia
NGC 3003,    9h48m37.4s, +33°25'14.9", 18.50, 3.363, 13.52, 22h18m, +61°20'42.82", 140°13'12.3", galaxia
NGC 3010,    9h50m34.7s, +44°18'51.3", 16.41, 0.490, 14.27, 22h20m, +50°27'08.89", 132°12'06.4", galaxia activa
NGC 3011,    9h49m42.6s, +32°13'12.9", 13.92, 0.563, 12.17, 22h19m, +62°32'46.15", 141°13'38.6", galaxia activa
NGC 3012,    9h49m53.5s, +34°42'48.4", 13.69, 0.777, 12.77, 22h20m, +60°03'10.94", 139°28'32.6", galaxia
NGC 3013,    9h50m10.7s, +33°34'07.0", 14.74, 0.570, 12.93, 22h20m, +61°11'52.66", 140°20'32.8", galaxia
NGC 3015,    9h49m24.0s, +1°08'35.8", 13.96, 0.460, 11.74, 22h19m, +86°22'37.20", 153°17'28.9", galaxia activa
NGC 3017,    9h49m04.2s, -2°49'26.6", 13.46, 0.807, 12.59, 22h19m, +82°24'35.22", 152°42'07.0", galaxia
NGC 3019,    9h50m08.4s, +12°44'39.8", 15.09, 0.720, 13.27, 22h20m, +82°01'19.78", 151°52'33.3", galaxia
NGC 3021,    9h50m58.5s, +33°33'10.0", 12.64, 1.513, 12.53, 22h21m, +61°12'50.63", 140°28'09.7", galaxia
NGC 3023,    9h49m53.8s, +0°36'56.3", 12.84, 1.593, 13.14, 22h19m, +85°50'57.11", 153°22'41.3", interacción galaxias
NGC 3026,    9h50m56.6s, +28°33'00.8", 13.62, 2.217, 13.85, 22h21m, +66°12'59.75", 143°55'09.7", interacción galaxias
NGC 3032,    9h52m09.5s, +29°14'07.3", 13.43, 1.200, 13.27, 22h22m, +65°31'54.77", 143°39'38.6", galaxia activa
NGC 3033,    9h48m39.0s, -56°25'30.3", 9.10, 5.000, 12.33, 22h18m, +28°48'32.29", 117°05'05.5", cúmulo estelar abierto
NGC 3035,    9h51m56.2s, -6°49'31.5", 13.64, 1.393, 13.83, 22h21m, +78°24'26.87", 152°20'52.7", galaxia activa
NGC 3038,    9h51m16.8s, -32°45'20.3", 11.78, 2.130, 12.64, 22h21m, +52°28'38.94", 136°50'00.1", galaxia
NGC 3039,    9h52m30.8s, +2°09'08.2", 13.59, 1.180, 13.10, 22h22m, +87°23'05.79", 154°06'43.3", galaxia
NGC 3042,    9h53m21.4s, +0°41'43.5", 13.22, 1.003, 11.92, 22h23m, +85°55'40.14", 154°14'48.3", galaxia
NGC 3044,    9h53m42.0s, +1°34'38.8", 12.63, 4.103, 13.44, 22h23m, +86°48'35.05", 154°23'16.0", galaxia
NGC 3047,    9h54m30.6s, -1°17'26.0", 15.16, 1.047, 13.50, 22h24m, +83°56'29.28", 154°18'20.7", galaxia
NGC 3049,    9h54m50.8s, +9°16'11.1", 13.17, 2.530, 14.03, 22h24m, +85°29'54.07", 153°57'17.8", galaxia
NGC 3051,    9h54m00.0s, -27°17'21.1", 15.17, 1.317, 12.99, 22h23m, +57°56'34.83", 141°18'05.3", galaxia
NGC 3053,    9h55m34.8s, +16°25'52.3", 13.36, 1.277, 13.11, 22h25m, +78°20'13.74", 151°39'37.9", radio galaxia
NGC 3057,   10h05m46.3s, +80°17'13.6", 14.03, 1.610, 13.86, 22h37m, +14°29'04.79", 101°32'06.5", galaxia
NGC 3059,    9h50m12.3s, -73°55'29.7", 11.96, 2.633, 13.09, 22h19m, +11°18'31.35", 101°47'27.3", galaxia
NGC 3060,    9h56m20.4s, +16°49'46.9", 13.35, 1.697, 13.00, 22h26m, +77°56'20.02", 151°38'29.5", galaxia
NGC 3065,   10h01m59.1s, +72°10'17.1", 13.54, 1.323, 13.82, 22h32m, +22°35'56.67", 108°51'35.5", galaxia activa
NGC 3068,    9h58m41.4s, +28°52'36.0", 14.20, 0.623, 12.46, 22h28m, +65°53'33.69", 144°56'46.4", interacción galaxias
NGC 3073,   10h00m54.1s, +55°37'09.4", 13.62, 0.950, 12.86, 22h31m, +39°09'02.97", 123°35'25.0", galaxia
NGC 3074,    9h59m42.7s, +35°23'31.1", 13.84, 2.187, 15.14, 22h29m, +59°22'39.74", 140°18'06.7", galaxia
NGC 3075,    9h58m57.5s, +14°25'02.0", 14.01, 1.473, 13.70, 22h29m, +80°21'07.92", 153°15'29.0", galaxia
NGC 3077 (Galaxia Guirnalda),   10h03m22.3s, +68°44'05.7", 10.45, 2.967, 12.31, 22h34m, +26°02'09.60", 112°01'22.9", galaxia
NGC 3078,    9h58m25.9s, -26°55'47.2", 11.23, 1.890, 12.11, 22h28m, +58°18'03.55", 142°14'12.9", galaxia
NGC 3079 (Galaxia del Frisbee Fantasma),   10h01m59.9s, +55°40'48.4", 11.08, 4.490, 12.53, 22h32m, +39°05'25.17", 123°36'41.1", galaxia activa
NGC 3080,    9h59m57.0s, +13°02'31.6", 16.50, 0.600, 15.01, 22h30m, +81°43'39.42", 154°00'52.7", galaxia activa
NGC 3081,    9h59m30.8s, -22°49'44.6", 13.71, 2.033, 13.70, 22h29m, +62°24'04.97", 145°21'00.0", galaxia activa
NGC 3083,    9h59m50.8s, -2°52'46.8", 13.85, 1.143, 12.77, 22h29m, +82°21'02.33", 155°19'27.5", galaxia
NGC 3085,    9h59m30.4s, -19°29'42.4", 13.07, 0.817, 11.26, 22h29m, +65°44'07.18", 147°35'17.0", galaxia
NGC 3086,   10h00m12.1s, -2°58'42.9", 14.27, 1.163, 13.34, 22h30m, +82°15'05.84", 155°23'20.8", galaxia
NGC 3087,    9h59m10.1s, -34°13'41.5", 11.73, 1.833, 12.62, 22h28m, +51°00'08.44", 136°42'10.6", galaxia
NGC 3091,   10h00m15.4s, -19°38'21.4", 10.76, 2.500, 12.13, 22h30m, +65°35'27.34", 147°37'43.1", galaxia
NGC 3092,   10h00m48.6s, -3°00'53.3", 14.13, 1.130, 13.33, 22h30m, +82°12'54.71", 155°31'44.3", galaxia
NGC 3093,   10h00m54.8s, -2°58'27.3", 14.37, 0.587, 12.43, 22h30m, +82°15'20.59", 155°33'46.7", galaxia
NGC 3094,   10h01m27.1s, +15°46'05.8", 13.15, 0.820, 12.07, 22h31m, +79°00'06.93", 153°13'06.0", galaxia
NGC 3095,   10h00m07.2s, -31°33'20.8", 11.75, 2.967, 12.86, 22h29m, +53°40'28.08", 138°56'44.2", galaxia
NGC 3096,   10h00m34.3s, -19°39'53.4", 13.24, 0.780, 11.92, 22h30m, +65°33'54.96", 147°40'06.0", galaxia
NGC 3099,   10h02m37.9s, +32°42'21.4", 14.40, 0.970, 13.62, 22h32m, +62°03'52.71", 142°44'31.4", galaxia
NGC 3100,   10h00m42.2s, -31°40'03.0", 12.64, 2.383, 13.70, 22h30m, +53°33'45.27", 138°56'03.7", galaxia activa
NGC 3101,   10h01m36.6s, -2°59'48.6", 14.77, 1.010, 13.22, 22h31m, +82°13'58.55", 155°43'39.4", galaxia
NGC 3102,   10h04m34.2s, +60°06'30.0", 13.76, 0.743, 12.69, 22h35m, +34°39'46.39", 119°50'43.5", galaxia
NGC 3105,   10h00m45.2s, -54°46'58.4", 9.97, 2.000, 11.22, 22h30m, +30°26'49.87", 119°20'59.5", cúmulo estelar abierto
NGC 3106,   10h04m06.6s, +31°11'03.7", 13.00, 1.423, 13.34, 22h34m, +63°35'12.11", 144°05'31.0", radio galaxia
NGC 3109,   10h03m08.2s, -26°09'44.8", 10.86, 0.557, 8.89, 22h32m, +59°04'00.71", 143°30'39.9", galaxia
NGC 3111,   10h06m09.2s, +47°15'45.0", 13.17, 1.100, 12.79, 22h36m, +47°30'33.10", 131°15'19.4", radio galaxia
NGC 3114 (Cúmulo Mano),   10h02m38.4s, -60°07'22.0", 4.53, 30.000, 11.65, 22h32m, +25°06'24.21", 114°41'37.8", cúmulo estelar abierto
NGC 3115 (Galaxia del Huso),   10h05m15.2s, -7°43'15.8", 10.04, 7.200, 12.92, 22h35m, +77°30'27.25", 155°06'05.0", galaxia
NGC 3119,   10h06m49.1s, +14°18'44.5", 14.70, 0.403, 12.22, 22h36m, +80°27'34.14", 155°01'40.4", galaxia
NGC 3121,   10h06m53.1s, +14°22'18.5", 13.61, 1.133, 13.53, 22h36m, +80°24'00.21", 155°00'59.6", galaxia
NGC 3125,   10h06m34.7s, -29°56'17.6", 13.17, 1.083, 12.59, 22h36m, +55°17'24.08", 141°04'26.4", galaxia activa
NGC 3126,   10h08m22.1s, +31°51'42.2", 13.46, 2.373, 13.61, 22h38m, +62°54'38.13", 144°10'10.7", galaxia
NGC 3131,   10h08m37.6s, +18°13'46.9", 13.38, 1.587, 13.07, 22h38m, +76°32'33.72", 153°27'19.6", galaxia activa
NGC 3132 (Nebulosa Planetaria Ocho Estallidos),   10h07m03.3s, -40°26'21.5", 10.20, 1.030, 7.81, 22h36m, +44°47'19.77", 132°24'29.5", nebulosa planetaria
NGC 3134,   10h12m30.5s, +12°22'30.8", 14.08, 0.790, 12.00, 22h42m, +82°23'53.83", 157°05'51.7", galaxia
NGC 3136,   10h05m51.2s, -67°22'50.0", 11.45, 3.997, 13.87, 22h35m, +17°50'52.79", 108°15'17.1", galaxia
NGC 3147,   10h16m57.8s, +73°24'05.5", 10.97, 2.847, 12.77, 22h47m, +21°22'23.99", 108°09'29.9", galaxia activa
NGC 3153,   10h12m51.7s, +12°39'53.5", 13.56, 1.863, 13.76, 22h42m, +82°06'31.52", 157°03'31.5", galaxia
NGC 3154,   10h13m02.5s, +17°01'57.0", 13.89, 0.800, 12.44, 22h43m, +77°44'28.20", 154°59'32.1", radio galaxia
NGC 3156,   10h12m42.4s, +3°07'37.8", 12.60, 1.550, 12.58, 22h42m, +88°21'12.94", 159°09'37.7", galaxia
NGC 3158,   10h13m52.0s, +38°45'51.1", 12.72, 1.813, 13.51, 22h44m, +56°00'35.00", 139°14'28.0", galaxia
NGC 3160,   10h13m56.6s, +38°50'32.1", 14.25, 1.347, 13.17, 22h44m, +55°55'54.06", 139°10'59.5", galaxia activa
NGC 3161,   10h14m00.7s, +38°39'23.1", 14.32, 0.663, 12.78, 22h44m, +56°07'03.18", 139°20'50.0", galaxia activa
NGC 3163,   10h14m08.7s, +38°39'07.0", 13.63, 0.917, 13.02, 22h44m, +56°07'19.37", 139°21'53.5", galaxia
NGC 3168,   10h16m25.4s, +60°14'06.9", 13.84, 0.937, 13.29, 22h46m, +34°32'21.91", 120°21'06.1", radio galaxia
NGC 3169,   10h14m16.3s, +3°27'50.3", 12.55, 2.727, 14.13, 22h44m, +88°41'23.85", 159°32'33.0", galaxia activa
NGC 3177,   10h16m35.4s, +21°07'16.8", 12.70, 0.840, 11.84, 22h46m, +73°39'11.97", 153°11'28.6", galaxia activa
NGC 3179,   10h17m58.8s, +41°06'48.7", 13.44, 0.797, 12.10, 22h48m, +53°39'41.56", 137°38'13.7", galaxia
NGC 3180 (Galaxia del Pequeño Molinillo),   10h18m18.6s, +41°25'25.4", 12.85, 6.723, 14.27, 22h48m, +53°21'05.13", 137°23'52.7", galaxia
NGC 3185 (Cuarteto de Leo),   10h17m39.9s, +21°41'12.4", 12.31, 2.373, 13.22, 22h47m, +73°05'17.48", 153°00'04.9", galaxia activa
NGC 3186,   10h17m39.1s, +6°58'08.8", 15.41, 0.573, 13.41, 22h47m, +87°48'20.98", 159°57'53.1", galaxia activa
NGC 3187 (Cuarteto de Leo),   10h17m49.1s, +21°52'18.4", 13.58, 1.903, 13.77, 22h47m, +72°54'11.62", 152°54'09.9", galaxia activa
NGC 3189 (Grupo NGC 3190),   10h18m06.9s, +21°49'49.5", 11.29, 2.823, 11.90, 22h48m, +72°56'40.75", 152°58'52.8", interacción galaxias
NGC 3191,   10h19m06.7s, +46°27'10.6", 14.43, 0.773, 13.02, 22h49m, +48°19'20.75", 133°01'42.9", galaxia
NGC 3193 (Cuarteto de Leo),   10h18m26.2s, +21°53'32.9", 11.02, 1.800, 11.99, 22h48m, +72°52'57.73", 152°59'37.3", galaxia activa
NGC 3195,   10h09m28.4s, -80°51'38.3", 13.17, 0.670, 11.78, 22h37m, +4°22'01.16", 95°54'49.0", nebulosa planetaria
NGC 3198,   10h19m56.7s, +45°32'57.1", 10.51, 5.983, 12.99, 22h50m, +49°13'35.01", 133°54'01.2", galaxia
NGC 3201,   10h17m38.6s, -46°24'54.6", 8.46, 18.200, 14.49, 22h47m, +38°48'35.71", 128°02'00.7", cúmulo estelar globular
NGC 3205,   10h20m51.6s, +42°58'17.7", 13.46, 1.060, 13.19, 22h51m, +51°48'15.32", 136°15'55.0", galaxia activa
NGC 3207,   10h21m02.2s, +42°59'04.6", 13.80, 0.930, 13.00, 22h51m, +51°47'28.55", 136°16'07.9", posible cuásar
NGC 3211,   10h17m53.2s, -62°40'20.9", 11.05, 0.483, 8.72, 22h47m, +22°33'09.33", 113°05'18.4", nebulosa planetaria
NGC 3216,   10h21m42.6s, +23°55'17.2", 13.72, 1.340, 13.93, 22h51m, +70°51'16.56", 152°05'26.3", galaxia
NGC 3219,   10h22m39.0s, +38°34'41.7", 14.46, 0.733, 13.34, 22h52m, +56°11'53.02", 140°17'02.6", galaxia
NGC 3221,   10h22m21.3s, +21°34'05.0", 13.26, 2.263, 13.31, 22h52m, +73°12'29.42", 153°52'36.5", galaxia
NGC 3222,   10h22m35.8s, +19°53'08.2", 13.15, 1.148, 13.06, 22h52m, +74°53'26.44", 155°03'47.7", galaxia
NGC 3223,   10h21m36.5s, -34°16'10.2", 10.99, 3.613, 13.16, 22h51m, +50°57'16.25", 139°11'44.5", galaxia
NGC 3226,   10h23m28.3s, +19°53'48.5", 13.47, 1.803, 14.24, 22h53m, +74°52'46.90", 155°12'33.0", galaxia activa
NGC 3227,   10h23m31.9s, +19°51'48.4", 11.93, 3.673, 13.67, 22h53m, +74°54'47.06", 155°14'30.6", galaxia activa
NGC 3228 (Cúmulo Escondite de la Reina),   10h21m24.0s, -51°43'50.1", 6.24, 5.000, 9.48, 22h51m, +33°29'36.63", 123°25'15.4", cúmulo estelar abierto
NGC 3229,   10h21m54.4s, +0°17'35.1", 14.78, 0.657, 12.76, 22h51m, +85°31'01.19", 161°18'29.5", galaxia
NGC 3238,   10h26m45.3s, +57°13'35.2", 13.45, 1.160, 13.45, 22h57m, +37°33'03.39", 123°38'35.5", galaxia
NGC 3242 (Nebulosa del Fantasma de Júpiter),   10h24m47.4s, -18°38'42.0", 8.75, 0.420, 7.02, 22h54m, +66°34'41.44", 152°27'25.7", nebulosa planetaria
NGC 3243,   10h26m22.7s, -2°37'28.1", 13.26, 1.057, 12.95, 22h56m, +82°35'53.81", 161°48'18.5", galaxia
NGC 3244,   10h25m30.4s, -39°49'48.7", 12.47, 1.820, 13.21, 22h55m, +45°23'34.09", 134°36'11.5", galaxia
NGC 3246,   10h26m43.0s, +3°51'35.8", 13.63, 1.590, 13.82, 22h56m, +89°04'57.43", 162°37'28.5", galaxia
NGC 3247 (Nebulosa del Derviche Giratorio),   10h24m19.6s, -57°45'44.7", 7.89, —, —, 22h53m, +27°27'39.27", 117°57'40.2", cúmulo de estrellas
NGC 3250,   10h26m33.9s, -39°56'47.5", 11.22, 2.210, 12.35, 22h56m, +45°16'34.34", 134°35'00.3", galaxia
NGC 3251,   10h29m18.2s, +26°05'51.5", 13.52, 1.963, 13.35, 22h59m, +68°40'49.19", 151°31'41.7", radio galaxia
NGC 3254,   10h29m21.3s, +29°29'24.5", 11.75, 3.470, 13.08, 22h59m, +65°17'16.33", 148°45'56.6", galaxia activa
NGC 3255,   10h26m42.1s, -60°41'03.5", 11.32, 2.000, 12.56, 22h56m, +24°32'18.31", 115°18'55.7", cúmulo de estrellas
NGC 3256,   10h27m53.3s, -43°54'27.3", 11.53, 6.760, 14.42, 22h57m, +41°18'53.42", 131°03'32.4", interacción galaxias
NGC 3257,   10h28m48.6s, -35°39'38.4", 12.72, 0.863, 11.86, 22h58m, +49°33'41.47", 138°38'47.0", galaxia
NGC 3258,   10h28m55.1s, -35°36'29.4", 11.90, 1.877, 12.84, 22h58m, +49°36'50.34", 138°42'11.5", galaxia
NGC 3259,   10h32m37.7s, +65°02'28.4", 17.16, 1.140, 16.62, 23h03m, +29°44'15.33", 116°30'14.1", galaxia activa
NGC 3260,   10h29m07.9s, -35°35'52.4", 14.57, 1.207, 13.65, 22h58m, +49°37'27.17", 138°43'53.0", galaxia
NGC 3261,   10h29m03.2s, -44°39'33.6", 11.23, 2.537, 12.87, 22h58m, +40°33'46.00", 130°26'41.3", galaxia
NGC 3262,   10h29m07.9s, -44°09'43.7", 13.96, 0.967, 13.38, 22h58m, +41°03'35.90", 130°54'36.4", galaxia
NGC 3265,   10h31m08.2s, +28°47'42.1", 13.69, 0.673, 12.18, 23h01m, +65°59'00.20", 149°33'35.6", galaxia
NGC 3266,   10h33m20.5s, +64°44'58.5", 13.08, 1.097, 12.83, 23h03m, +30°01'45.92", 116°48'17.1", galaxia
NGC 3267,   10h29m50.1s, -35°19'30.1", 13.52, 1.377, 13.51, 22h59m, +49°53'48.79", 139°02'21.6", galaxia
NGC 3268,   10h30m02.2s, -35°19'41.2", 11.94, 2.640, 13.52, 22h59m, +49°53'37.55", 139°03'15.9", galaxia
NGC 3269,   10h29m58.6s, -35°13'37.2", 13.68, 1.393, 13.42, 22h59m, +49°59'41.62", 139°08'24.8", galaxia
NGC 3270,   10h31m31.3s, +24°52'04.1", 13.60, 1.517, 13.07, 23h01m, +69°54'38.60", 152°48'37.5", galaxia activa
NGC 3271,   10h30m28.0s, -35°21'43.7", 11.90, 2.180, 12.62, 23h00m, +49°51'34.68", 139°03'42.0", galaxia
NGC 3273,   10h30m30.7s, -35°36'47.7", 13.10, 1.493, 12.92, 23h00m, +49°36'30.63", 138°50'19.9", galaxia
NGC 3277,   10h32m56.9s, +28°30'37.2", 11.82, 1.447, 12.12, 23h02m, +66°16'06.68", 150°00'56.9", galaxia activa
NGC 3279,   10h34m44.0s, +11°11'42.9", 13.39, 2.633, 12.93, 23h04m, +83°35'02.43", 162°30'21.7", galaxia
NGC 3281,   10h31m53.6s, -34°51'22.7", 14.19, 3.113, 13.95, 23h01m, +50°21'54.44", 139°38'37.6", galaxia activa
NGC 3285,   10h33m37.2s, -27°27'25.3", 12.24, 2.247, 12.94, 23h03m, +57°45'50.34", 146°24'01.4", galaxia
NGC 3286,   10h36m23.6s, +58°37'11.8", 13.89, 0.653, 12.46, 23h06m, +36°09'35.03", 122°45'14.1", radio galaxia
NGC 3288,   10h36m28.1s, +58°33'21.8", 14.21, 0.923, 13.64, 23h06m, +36°13'25.15", 122°49'03.8", interacción galaxias
NGC 3289,   10h34m08.9s, -35°19'33.6", 14.30, 1.817, 13.65, 23h03m, +49°53'41.63", 139°24'37.3", galaxia
NGC 3293 (Cúmulo de Gemas),   10h35m51.5s, -58°13'55.9", 4.99, 8.000, 9.24, 23h05m, +26°59'17.95", 118°00'28.0", cúmulo asociado con nebulosidad
NGC 3294,   10h36m17.8s, +37°19'24.6", 11.84, 2.967, 13.09, 23h06m, +57°27'22.10", 142°38'03.4", galaxia
NGC 3298,   10h37m14.2s, +50°07'12.3", 14.09, 1.070, 13.52, 23h07m, +44°39'35.24", 130°50'45.6", galaxia
NGC 3304,   10h37m39.4s, +37°27'16.5", 13.65, 1.053, 12.79, 23h07m, +57°19'31.31", 142°37'43.9", galaxia activa
NGC 3305,   10h36m13.2s, -27°09'53.1", 12.94, 0.827, 12.17, 23h06m, +58°03'20.31", 146°56'02.3", galaxia
NGC 3306,   10h37m11.5s, +12°39'01.7", 13.76, 0.867, 12.43, 23h07m, +82°07'45.68", 162°16'27.5", galaxia
NGC 3307,   10h36m18.6s, -27°31'56.1", 14.64, 0.643, 13.06, 23h06m, +57°41'17.25", 146°37'08.8", galaxia
NGC 3308,   10h36m23.8s, -27°26'26.4", 12.52, 1.687, 13.03, 23h06m, +57°46'46.96", 146°42'32.5", galaxia
NGC 3309,   10h36m37.0s, -27°31'15.5", 11.94, 1.653, 12.70, 23h06m, +57°41'57.63", 146°39'39.6", galaxia
NGC 3310 (Galaxia Arco y Flecha),   10h38m47.9s, +53°30'10.3", 12.35, 1.390, 12.56, 23h08m, +41°16'38.50", 127°43'26.6", galaxia activa
NGC 3311,   10h36m44.2s, -27°31'51.2", 11.09, 3.417, 13.39, 23h06m, +57°41'21.86", 146°39'52.6", galaxia
NGC 3312,   10h37m03.9s, -27°34'03.3", 14.12, 2.393, 13.83, 23h06m, +57°39'09.46", 146°39'57.5", galaxia activa
NGC 3314,   10h37m14.2s, -27°41'11.3", 13.27, 1.827, 13.20, 23h07m, +57°32'01.32", 146°34'41.3", galaxia
NGC 3316,   10h37m38.7s, -27°35'47.6", 13.19, 0.963, 12.52, 23h07m, +57°37'24.71", 146°41'58.1", galaxia
NGC 3318,   10h37m17.2s, -41°37'48.3", 12.16, 2.177, 13.07, 23h07m, +43°35'24.27", 133°48'46.7", galaxia
NGC 3319,   10h39m11.2s, +41°41'09.3", 11.23, 3.073, 12.27, 23h09m, +53°05'39.74", 138°51'21.4", galaxia activa
NGC 3323,   10h39m40.4s, +25°19'15.8", 14.18, 0.883, 13.13, 23h09m, +69°27'33.66", 153°30'24.6", radio galaxia
NGC 3324 (Nebulosa de Gabriela Mistral),   10h37m22.3s, -58°38'39.0", 6.99, 15.500, 12.57, 23h06m, +26°34'33.66", 117°40'15.4", cúmulo de estrellas
NGC 3325,   10h39m21.7s, -0°12'09.2", 13.13, 0.990, 12.73, 23h09m, +85°01'01.70", 165°32'22.0", galaxia
NGC 3326,   10h39m33.1s, +5°06'18.9", 13.93, 0.570, 12.23, 23h09m, +89°40'30.34", 165°39'41.3", radio galaxia
NGC 3327,   10h39m59.3s, +24°05'22.6", 13.28, 1.167, 13.05, 23h09m, +70°41'27.01", 154°34'14.8", galaxia
NGC 3330,   10h38m50.1s, -54°07'20.0", 7.66, 6.000, 11.28, 23h08m, +31°05'51.39", 122°03'31.7", cúmulo estelar abierto
NGC 3332,   10h40m29.6s, +9°10'49.4", 13.01, 1.400, 13.34, 23h10m, +85°36'00.61", 164°40'30.4", radio galaxia
NGC 3334,   10h41m32.8s, +37°18'42.3", 13.32, 1.063, 12.98, 23h11m, +57°28'08.63", 143°04'17.8", galaxia
NGC 3336,   10h40m18.4s, -27°46'46.7", 12.35, 2.180, 13.45, 23h10m, +57°26'23.43", 146°48'03.7", galaxia
NGC 3339,   10h42m19.2s, -0°22'44.7", 13.37, 1.217, 12.91, 23h12m, +84°50'23.89", 166°13'38.1", galaxia
